sampleId,sampleBucket,samplingReason,entryId,written,reading,senseIndex,pos,englishGlosses,zhGlosses,shortGloss,usageNote,shouldDisplay,confidence,issueFlags,needsHumanReview,riskLabels,riskPriority,changedFields,sourceCandidate,userRating,userIssueType,userComment,suggestedFix
21,hidden_specialized,sd=false 隐藏 (archaic),jmdict-1162920,ひと時,ひととき,3,,,两小时,两小时,古时的一个时辰，相当于现代的两小时。,False,medium,archaic,False,,,,reviewed-r2,,,,
22,hidden_specialized,sd=false 隐藏 (specialized),jmdict-1163130,一手,いって,1,,,一手（棋）; 一步棋,一手（棋）,围棋、将棋等棋类术语。,False,medium,specialized,False,,,,reviewed-r2,,,,
23,hidden_specialized,sd=false 隐藏 (specialized),jmdict-1164150,一石,いっせき,1,,,一局围棋,一局围棋,围棋术语。,False,medium,specialized,False,,,,reviewed-r2,,,,
24,hidden_specialized,sd=false 隐藏 (archaic),jmdict-1164650,一旦,いったん,3,,,一天早晨,一天早晨,古语用法，现代日语中不常用。,False,medium,archaic,False,,,,reviewed-r2,,,,
25,hidden_specialized,sd=false 隐藏 (specialized),jmdict-1164690,一段,いちだん,4,,,一段动词,一段动词,日语语法术语。,False,medium,specialized,False,,,,reviewed-r2,,,,
26,hidden_specialized,sd=false 隐藏 (specialized),jmdict-1164760,一着,いっちゃく,4,,,一步棋; 一招,一步棋,围棋、象棋等棋类术语。,False,medium,specialized,False,,,,reviewed-r2,,,,
27,hidden_specialized,sd=false 隐藏 (specialized),jmdict-1164900,一通,いっつう,3,,,一气通贯,一气通贯,麻将术语。,False,medium,specialized,False,,,,reviewed-r2,,,,
28,hidden_specialized,sd=false 隐藏 (too_rare),jmdict-1164910,一通り,ひととおり,4,,,一种方法,一种方法,,False,medium,too_rare,False,,,,reviewed-r2,,,,
29,hidden_specialized,sd=false 隐藏 (specialized),jmdict-1165580,１年生,いちねんせい,3,,,一年生的,一年生的,用于植物,False,medium,specialized,False,,,,reviewed-r2,,,,
30,hidden_specialized,sd=false 隐藏 (specialized),jmdict-1165580,１年生,いちねんせい,4,,,一年生植物,一年生植物,植物学用语,False,medium,specialized,False,,,,reviewed-r2,,,,
31,risk_queue,QA: shouldDisplay review / possible_specialized_shouldDisplay_true,jmdict-1173420,営む,いとなむ,1,,,经营；从事（事业）,经营,,False,medium,specialized; needs_human_review,False,possible_specialized_shouldDisplay_true,P1,,reviewed-r2,,,,
32,risk_queue,QA: shouldDisplay review / possible_specialized_shouldDisplay_true,jmdict-1174890,鋭い,するどい,1,,,锋利; 尖锐,锋利,用于刀、爪等。,False,medium,specialized; needs_human_review,False,possible_specialized_shouldDisplay_true,P1,,reviewed-r2,,,,
33,risk_queue,QA: shouldDisplay review / possible_specialized_shouldDisplay_true,jmdict-1175310,越境,えっきょう,1,,,越境; 非法越境,越境,,False,medium,specialized; needs_human_review,False,possible_specialized_shouldDisplay_true,P1,,reviewed-r2,,,,
34,risk_queue,QA: Minor / possible_unreviewed_japanese_example,jmdict-1166220,一風,いっぷう,1,,,独特风格; 与众不同,独特风格,常以「一風変わった」形式使用，意为「风格独特的」。,True,high,none,False,possible_unreviewed_japanese_example,P2,,reviewed-r2,,,,
35,risk_queue,QA: Minor / possible_unreviewed_japanese_example,jmdict-1166340,一文,いちもん,1,,,一文钱; 极少的钱,一文钱,常用于否定形式，如「一文無し」（身无分文）。,True,high,none,False,possible_unreviewed_japanese_example,P2,,reviewed-r2,,,,
36,risk_queue,QA: Minor / possible_unreviewed_japanese_example,jmdict-1166440,一辺倒,いっぺんとう,1,,,一边倒; 完全偏向,一边倒,常以「～に一辺倒」形式使用，表示完全倾向于某事物。,True,high,none,False,possible_unreviewed_japanese_example,P2,,reviewed-r2,,,,
37,risk_queue,QA: Minor / possible_unreviewed_japanese_example,jmdict-1166460,一歩,いっぽ,3,,,少许; 一点点,少许,常以「一歩譲る」等形式使用。,True,high,none,False,possible_unreviewed_japanese_example,P2,,reviewed-r2,,,,
38,risk_queue,QA: Minor / possible_unreviewed_japanese_example,jmdict-1166950,一目,ひとめ,2,,,一览; 全景,一览,常以「一目でわかる」等形式使用。,True,high,none,False,possible_unreviewed_japanese_example,P2,,reviewed-r2,,,,
39,risk_queue,QA: Minor / possible_unreviewed_japanese_example,jmdict-1167100,一躍,いちやく,1,,,一跃; 一下子,一跃,常用于「一躍～になる」等表达，表示迅速达到某种状态。,True,high,none,False,possible_unreviewed_japanese_example,P2,,reviewed-r2,,,,
40,risk_queue,QA: Minor / possible_unreviewed_japanese_example,jmdict-1167270,一流,いちりゅう,2,,,独特; 特有,独特,常以「～一流の」形式使用。,True,high,none,False,possible_unreviewed_japanese_example,P2,,reviewed-r2,,,,
41,low_confidence_or_nhr,low confidence (low),jmdict-1167370,一塁,いちるい,3,,,一座堡垒,一座堡垒,本义，极少使用。,False,low,too_rare,False,,,,reviewed-r2,,,,
42,low_confidence_or_nhr,low confidence (low),jmdict-1172250,丑,うし,3,,,北北东,北北东,方位，用于阴阳道等。,False,low,specialized; archaic,False,,,,reviewed-r2,,,,
43,low_confidence_or_nhr,low confidence (low),jmdict-1172250,丑,うし,4,,,十二月（农历）,十二月,农历第十二个月。,False,low,specialized; archaic,False,,,,reviewed-r2,,,,
44,low_confidence_or_nhr,issue flags: specialized,jmdict-1165700,一泊,いっぱく,2,,,一晚的租赁; 按晚出租,一晚的租赁,,False,medium,specialized,False,,,,reviewed-r2,,,,
45,low_confidence_or_nhr,issue flags: too_rare,jmdict-1166060,一匹,いっぴき,2,,,两反布,两反布,布匹单位，1匹=2反，现已罕用。,False,medium,too_rare,False,,,,reviewed-r2,,,,
46,changed_by_review,审查变更: QA审查 (无内容变更),jmdict-1167650,逸らす,そらす,2,,,惹恼; 得罪,惹恼,常用于「気を逸らす」等表达。,True,high,none,False,possible_unreviewed_japanese_example,P2,QA审查 (无内容变更),reviewed-r2,,,,
47,changed_by_review,审查变更: QA审查 (无内容变更),jmdict-1171820,羽目,はめ,2,,,困境; 窘境,困境,常用于「羽目になる」表示陷入困境。,True,high,none,False,possible_unreviewed_japanese_example,P2,QA审查 (无内容变更),reviewed-r2,,,,
48,changed_by_review,审查变更: QA审查 (无内容变更),jmdict-1172400,嘘,うそ,2,,,错误; 失误,错误,如「嘘をつく」指犯错。,True,high,none,False,possible_unreviewed_japanese_example,P2,QA审查 (无内容变更),reviewed-r2,,,,
49,changed_by_review,审查变更: QA审查 (无内容变更),jmdict-1174340,泳ぐ,およぐ,2,,,挤过（人群）,挤过,如「人混みを泳ぐ」。,True,high,none,False,possible_unreviewed_japanese_example,P2,QA审查 (无内容变更),reviewed-r2,,,,
50,changed_by_review,审查变更: QA审查 (无内容变更),jmdict-1174340,泳ぐ,およぐ,3,,,处世; 谋生,处世,如「世の中を泳ぐ」。,True,high,none,False,possible_unreviewed_japanese_example,P2,QA审查 (无内容变更),reviewed-r2,,,,
